Sample,Sample_code,Sample_fraction,ParticleType,recovery_Year,recovery_Month,recovery_Day,Trap,Station,Sample_Time,Sample_type
T1,T1,na,bulk_fresh,2017,2,8,WW2,2,0,Trap
T2,T2,na,bulk_RNAlater,2017,2,8,WW2,2,0,Trap
T4,T4,na,bulk_fresh,2017,2,13,WW3,3,0,Trap
T5,T5,na,bulk_RNAlater,2017,2,13,WW3,3,0,Trap
T7,T7,na,bulk_fresh,2017,2,14,WW4,3,0,Trap
T8,T8,na,bulk_RNAlater,2017,2,14,WW4,3,0,Trap
P1,P1,na,aggregate,2017,2,2,NBST1,1,0,Trap
P2,P2,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P3,P3,na,aggregate,2017,2,2,NBST1,1,0,Trap
P4,P4,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P5,P5,na,long_fecal_pellet,2017,2,2,NBST1,1,0,Trap
P6,P6,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P7,P7,na,long_fecal_pellet,2017,2,2,NBST1,1,0,Trap
P8,P8,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P9,P9,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P10,P10,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P12,P12,na,dense_detritus,2017,2,2,NBST1,1,0,Trap
P13,P13,na,aggregate,2017,2,2,NBST1,1,0,Trap
P15,P15,na,large_loose_pellet,2017,2,2,WW2,2,0,Trap
P16,P16,na,long_fecal_pellet,2017,2,8,WW2,2,0,Trap
P18,P18,na,dense_detritus,2017,2,8,WW2,2,0,Trap
P23,P23,na,dense_detritus,2017,2,8,WW2,2,0,Trap
P24,P24,na,long_fecal_pellet,2017,2,8,WW2,2,0,Trap
P25,P25,na,dense_detritus,2017,2,8,WW2,2,0,Trap
P27,P27,na,large_loose_pellet,2017,2,13,WW3,3,0,Trap
P28,P28,na,long_fecal_pellet,2017,2,13,WW3,3,0,Trap
P29,P29,na,large_loose_pellet,2017,2,13,WW3,3,0,Trap
P30,P30,na,large_loose_pellet,2017,2,13,WW3,3,0,Trap
P31,P31,na,large_loose_pellet,2017,2,13,WW3,3,0,Trap
